TS,IT,IH,OT,OH,HP
75,19.1889,51.1500,9.7167,73.0200,42.0150
76,18.8944,50.8400,9.4000,73.6000,49.3575
77,18.8778,50.6900,9.1556,74.3300,49.3263
78,19.1222,50.4500,8.9611,74.6800,49.6063
79,19.1444,50.4600,8.6500,75.9300,49.4313
80,18.9722,50.2300,8.5500,76.3200,53.8063
81,18.7611,50.2200,8.4444,77.3100,53.8375
82,18.8556,50.1300,8.2000,78.8600,54.0575
83,19.0000,50.0800,8.1056,79.5400,54.3575
84,19.0111,49.9300,8.0111,80.9000,58.9825
85,18.8444,50.0000,8.0667,85.9000,58.9825
86,19.1889,49.9800,7.9556,90.8000,58.9500
87,19.0667,50.0000,8.6167,93.4000,59.0250
88,18.9944,50.3100,10.0000,94.2000,59.0875
89,18.6889,50.3500,10.3056,93.7000,59.0875
90,19.1889,50.9000,10.5167,93.4000,59.2450
91,19.0111,52.2600,10.5111,93.8000,59.4950
92,19.0778,52.3500,10.4833,94.2000,59.7450
93,18.8222,52.1400,10.4722,94.4000,59.7450
94,18.8944,51.8400,10.3667,94.8000,59.8375
95,19.1833,51.5700,10.3056,95.0000,60.0625
96,18.9167,51.5900,9.6833,94.2000,46.5000
1,18.8222,51.3300,8.0667,92.1000,46.5000
2,19.1278,51.0600,6.6833,91.2000,46.2825
3,18.9167,51.0200,4.6778,90.4000,45.7825
4,18.8833,50.4000,3.1111,90.5000,42.7200
5,18.7278,48.5600,1.7056,92.3000,42.7200
6,19.2222,47.6800,1.0333,93.6000,41.8125
7,19.4389,47.1500,0.4667,95.4000,34.5325
8,18.9222,47.7000,0.1111,97.0000,32.1888
9,18.8444,46.2400,-0.3222,97.3000,32.1888
10,19.0167,46.2500,-0.9611,96.9000,32.3463
11,19.2167,45.7300,-1.2722,96.7000,32.3138
12,18.6833,45.4000,-1.7000,96.2000,32.3138
13,18.6889,45.3100,-1.9778,93.6000,32.3138
14,19.0111,44.9200,-2.3778,91.3000,32.0013
15,19.0500,44.5800,-2.6944,90.1000,27.6588
16,18.7611,44.4900,-3.0444,88.1000,27.6900
17,18.7722,44.0300,-3.3556,88.6000,27.6588
18,18.9889,43.7600,-3.6278,86.8000,27.2513
19,18.9722,43.7500,-3.9722,85.1000,27.2513
20,18.6889,43.5700,-4.2167,86.3000,27.2513
21,18.8111,43.0100,-4.6722,85.3000,27.2513
22,18.8167,42.9300,-5.0722,84.9000,28.3763
23,18.9389,42.5100,-5.3222,85.1000,28.8438
24,18.8722,42.1200,-5.4778,86.0000,28.8125
